1,2018,10,31,22
2,2018,10,31,23
3,2018,11,01,00
4,2018,11,01,01
5,2018,11,01,02
6,2018,11,01,03
7,2018,11,01,04
8,2018,11,01,05
9,2018,11,01,06
10,2018,11,01,07
11,2018,11,01,08
12,2018,11,01,09
13,2018,11,01,10
14,2018,11,01,11
15,2018,11,01,12
16,2018,11,01,13
17,2018,11,01,14
18,2018,11,01,15
19,2018,11,01,16
20,2018,11,01,17
21,2018,11,01,18
22,2018,11,01,19
23,2018,11,01,20
24,2018,11,01,21
25,2018,11,01,22
26,2018,11,01,23
27,2018,11,02,00
28,2018,11,02,01
29,2018,11,02,02
30,2018,11,02,03
31,2018,11,02,04
32,2018,11,02,05
33,2018,11,02,06
34,2018,11,02,07
